sample_id,pack,valid_gt,gt,rank_bucket,current_best_branch,current_best_rank,union@50,union@100,ideal_lever,ideal_pull_up,rationale,best_production_probe,best_production_probe_rank,gt_tag_oracle_rank,state_gt_tag_overlap,gt_year,gt_pop_rank,gt_tags,gt_clean_tags,current_user,audit_note,source_gap_reason
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,True,Give It To Me Baby / Rick James,deep_or_source_gap_gt_rank_gt100,analysis.era_tag_popularity.anchor_cf_features,109,True,True,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_fact_only_scene_era,2518,1,"funk, rock, soul",1981,2426,"funk, guitars, Funk, sexy, faves, genius, 80s soul weekender, horns, Rock, R&B/Soul","funk, guitars, sexy, 80s soul weekender, horns, Rock, R&B/Soul, male-vocalist","Yes! ""Can You Feel the Force"" is awesome, such a great track. That's exactly the kind of energy I'm looking for. What are some other high-energy, classic disco or funk tracks from that late 70s to early 80s period?",GT is in the candidate pool but below top-20.,
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,True,Mercy / Muse,order_gap_51_100,analysis.tag_popularity_alias.catalog_features,80,False,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 80; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,state_tag_popularity_alias,77,1,"2010s, alt rock, alternative, alternative rock, alternative-rock, emotional, pop, rock",2015,6953,"beautiful, muse, emotional, fucking awesome, new, alternative rock, piano, vocal layering, 2015, british","emotional, new, alternative rock, piano, vocal layering, 2015, british, rock, glam rock, 2015 single","Yes! Twenty One Pilots is a great choice, ""Stressed Out"" totally has that powerful vibe I'm looking for. Can you recommend a few more songs or artists from the 2000s or 2010s that have a similar intense and emotional alternative rock sound, maybe with a str...","GT appears deep, but projected branch inputs are not sharp enough.",visual_cover_art_source_gap
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,True,I Can't Go to Sleep / Wu-Tang Clan,order_gap_21_50,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.catalog_features,29,True,True,branch_local_rerank_existing_branch,GT is already close at rank 29 in dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.catalog_features; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,state_tag_popularity_alias,2334,1,"hip hop, hip hop/rap, hip-hop, hip-hop/rap, rap",2000,17110,"legend, lyrical, gangsta, get the jelly out ya spine, Hip-Hop/Rap, sleep, wu-tang clan, boring, insomnia, hip-hop","legend, lyrical, gangsta, get the jelly out ya spine, Hip-Hop/Rap, insomnia, hip-hop, wtf is this shit, crime, rap","This is exactly the kind of intricate storytelling I'm digging into. The way Kendrick builds a narrative and develops characters, with the music itself being a part of that journey, is just next level. 'untitled 03' definitely has that layered depth. Keep '...",GT is in the candidate pool but below top-20.,
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,True,Shaft / Kashmere Stage Band,absent_from_promoted_top100,,,False,False,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_tag_popularity_alias,18216,1,funk,2011,37049,"funk, umlaute, soundtrack, Others, instrumental, lovedtrack, instrumental funk, bespoke radio for sriman, jazz-rock, mark-test2","funk, umlaute, soundtrack, Others, instrumental, instrumental funk, jazz-rock, mark-test2, soulphisticated, groovy","Yes! That's a classic, I know that one well! It definitely fits the vibe of what I was looking for. It's got that undeniable groove.","State has signal, but forced existing branches do not surface GT.",popularity_by_scene_query_gap
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,True,In the Shadows / The Rasmus,deep_or_source_gap_gt_rank_gt100,centroid.anchor_tracks.audio_laion_clap.branch_local_hybrid,197,False,False,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_fact_only_scene_era,4531,1,"alt rock, alternative, alternative rock, alternative-rock, metal, rock",2003,776,"winamp erk playlist all the goodies on my computer, Metal, rock, pop rock, favourite songs, imogen, alternative rock, finnish, Alternative, pozitiv","Metal, rock, pop rock, imogen, alternative rock, finnish, Alternative, pozitiv, indie, good songs","Yes! Guano Apes! I love this song, it's so powerful. The vocalist is amazing. Do you have any other powerful rock songs, maybe with a really strong guitar riff?","GT appears deep, but projected branch inputs are not sharp enough.",retriever_source_or_query_gap
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,False,I Believe in a Thing Called Love / The Darkness,absent_from_promoted_top100,,,False,False,do_not_optimize_invalid_or_contradictory_gt,Do not chase this with retrieval. Keep it as a guardrail/audit case.,GT audit marks this noisy or contradictory.,,,1,,2003,1093,"Metal, metal, doom metal, Soundtracks, Rock","Metal, doom metal, Soundtracks, Rock","Oh my goodness, that's a very interesting choice! ""I Write Sins Not Tragedies"" definitely has a strong story. I remember a song like that, with a wedding drama. Can you remind me of any specific lines about a bartender, or someone overhearing gossip?",User is recalling a lyric setup from a prior item; GT is a broad next-play jump.,lyric_or_theme_source_gap
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,True,Move Along / The All-American Rejects,order_gap_51_100,dense.clap_text.sonic_nl.audio_laion_clap.branch_local_hybrid,97,False,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 97; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,artist_neighbor_scene_fact,23,1,"alt rock, alternative, alternative rock, alternative-rock, classic punk, emo rock, emo-rock, hardcore punk, pop punk, pop-punk, proto-punk, punk, punk pop, punk-pop",2005,1407,"alternative rock, hopeful, Alternative, punk-pop, favorites, hope, fav songs, favorite song, emo rock, positive","alternative rock, hopeful, Alternative, punk-pop, hope, fav songs, emo rock, positive, indie, good stuff","That's a good one, it totally brings back early 2000s pop-punk! It's got the energy, but I'm looking for something that feels a bit more... not quite heavier, but with a stronger angsty feel. Still from that early 2000s pop-punk or alternative rock vibe, ma...","GT appears deep, but projected branch inputs are not sharp enough.",scene_subculture_or_genre_query_gap
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,True,S&M / Rihanna,deep_or_source_gap_gt_rank_gt100,analysis.artist_tag_neighbor_popularity.anchor_cf_features,120,True,True,promote_state_tag_popularity_alias,state_tag_popularity_alias would put GT at rank 30; promote/tune this production-valid branch.,Current projected tags plus catalog alias expansion.,state_tag_popularity_alias,30,1,"energetic, female, sex",2010,94,"energetic, party time, awful, workout, 2010, hot, unlistenable, 2010s, erotica, s&m","energetic, party time, workout, 2010, hot, 2010s, erotica, catchy as hell, synthpop, attitude","Yes! That's exactly the track! 'Toxic' by Britney Spears always makes me feel that way. It's so iconic and brings back all those confident, dancing vibes. You nailed it! Thanks! Can you recommend something else with a similar super strong, driving beat? May...",GT is in the candidate pool but below top-20.,
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,False,"Used To / Lil Wayne, Drake",order_gap_21_50,dense.clap_text.sonic.audio_laion_clap.anchor_cf_features,48,True,True,do_not_optimize_invalid_or_contradictory_gt,Do not chase this with retrieval. Keep it as a guardrail/audit case.,GT audit marks this noisy or contradictory.,same_album_fanout,14,1,"hip hop, hip hop/rap, hip-hop, hip-hop/rap, love, rap",2015,6081,"lil wayne, love, ovo, bass, Hip-Hop/Rap, hip hop, hip-hop, canada, rap","love, ovo, bass, Hip-Hop/Rap, hip hop, canada, rap","Legend"" is a classic, no doubt! I'm good on Drake for now though. I was hoping for some popular Hip-Hop tracks from *other artists* around late 2015 to early 2016. Any major hits from that period by someone different?",Frozen state has an explicit rejection matching the GT entity.,visual_cover_art_source_gap
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,True,Transcentience / Animals As Leaders,deep_or_source_gap_gt_rank_gt100,dense.qwen_8b.intent.metadata_qwen3_embedding_8b.anchor_cf_features,147,False,False,underspecified_or_new_source_needed,No current production-valid probe sees the GT well; keep as candidate for new source audit.,The request/GT connection is weak in available metadata.,artist_neighbor_scene_fact,15452,6383,,2016,41464,Hard Rock,Hard Rock,This is excellent! The melodic technicality of Allegaeon is exactly the kind of balance I was looking for. Can you suggest something else that leans into orchestral or symphonic elements alongside the technicality?,"GT appears deep, but projected branch inputs are not sharp enough.",scene_subculture_or_genre_query_gap
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,True,God Hates a Coward / Tomahawk,deep_or_source_gap_gt_rank_gt100,bm25.catalog_features,126,False,False,promote_state_tag_popularity_alias,state_tag_popularity_alias would put GT at rank 23; promote/tune this production-valid branch.,Current projected tags plus catalog alias expansion.,state_tag_popularity_alias,23,1,"alt rock, alternative, alternative rock, alternative-rock, avant-garde, experimental, mike patton, mike-patton, progressive metal, progressive-metal, strange",2001,21312,"experimental, supergroup, folk, alternative rock, progressive metal, neuroshima, aberrant mental states, leapsandloved2009, epic, favorites","experimental, supergroup, folk, alternative rock, progressive metal, neuroshima, aberrant mental states, epic, strange, 2001","Yes! Mr. Bungle! That's exactly the band I was trying to remember. ""Violenza Domestica"" is definitely a great example of their sound. Thanks! Now that we found them, what else could you recommend that has a similar experimental, genre-bending vibe, maybe wi...","GT appears deep, but projected branch inputs are not sharp enough.",visual_cover_art_source_gap
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,True,Gib ihn einfach (Dies das 2) / Ghanaian Stallion,deep_or_source_gap_gt_rank_gt100,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b.catalog_features,212,False,False,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_fact_only_scene_era,6502,72,"hip hop, hip-hop, rap",2015,42431,"hip-hop, Hip-Hop/Rap, rap, boom-bap","hip-hop, Hip-Hop/Rap, rap, boom-bap","Yes, this is exactly the kind of sound I was looking for! ""Welcome To Jamrock"" is a classic. That definitely fits the ""defined an era"" vibe. Can you give me another track that has that timeless, era-defining feeling, maybe an old-school hip-hop gem this time?","GT appears deep, but projected branch inputs are not sharp enough.",popularity_by_scene_query_gap
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,P0_new_artist_union20_gap_failure,True,You Reposted in the Wrong Neighborhood I Glue70 Mashup / Shokk,order_gap_21_50,dense.qwen_8b.intent.metadata_qwen3_embedding_8b.anchor_cf_features,22,True,True,branch_local_rerank_existing_branch,GT is already close at rank 22 in dense.qwen_8b.intent.metadata_qwen3_embedding_8b.anchor_cf_features; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,,,1129,,2014,7565,Electronic,Electronic,"Dude, 'The Ultimate Showdown of Ultimate Destiny' is awesome! That song is a classic, the story is just so over-the-top and hilarious. You really crushed it with these meme and goofy song recommendations! Thanks! What else you got for me? Maybe something mo...",GT is in the candidate pool but below top-20.,
5861afef-85c0-4163-b8b9-5a11e308f352::t4,P0_new_artist_union20_gap_failure,True,Carmesí / Vicente Garcia,order_gap_51_100,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b.anchor_cf_features,74,False,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 74; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,state_tag_popularity_alias,1104,491,latin,2016,3829,Latin,Latin,"Yes, ""Tic Tac"" is super catchy and energetic! It's great to hear MC Lan with Lucas Lucco too. I'm finding some really good artists. Can you give me a few more diverse artists to check out, maybe with a slightly different take on that danceable or Latin sound?",GT is in the candidate pool but below top-20.,
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,True,Hong Kong 2046 / Hong Kong Express,deep_or_source_gap_gt_rank_gt100,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b.catalog_features,347,False,False,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_fact_only_scene_era,3512,1,"edm, electronic, electronica",2014,16654,"numbers, late night lo-fi, Electronic, cityvapor, towns and cities, vaporwave","numbers, late night lo-fi, Electronic, cityvapor, towns and cities, vaporwave","Oh, Flying Lotus! This is cool, it's got a really interesting mix of sounds. It's like electronic but also soulful, very unique. What else have you got that's really out there?","GT appears deep, but projected branch inputs are not sharp enough.",visual_cover_art_source_gap
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,True,Sunrise - Slow Hands Remix / Kasper Bjørke,order_gap_21_50,centroid.anchor_tracks.cf_bpr.branch_local_hybrid,36,True,True,branch_local_rerank_existing_branch,GT is already close at rank 36 in centroid.anchor_tracks.cf_bpr.branch_local_hybrid; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,artist_neighbor_scene_fact,2797,1878,"dance, edm, electronic, electronica, freestyle mix, house",2013,44774,"Pop, Dance, Electronic","Pop, Dance, Electronic","This one has a cool electronic sound and it's definitely emotional. But I'm still looking for that really strong, direct ""plea"" or ""begging"" in the lyrics, like in ""Iris,"" but for electronic songs. Do you have any tracks that really hit that direct lyrical...","GT appears deep, but projected branch inputs are not sharp enough.",lyric_or_theme_source_gap
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,True,Acknowledge / Masta Ace,order_gap_51_100,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b.branch_local_hybrid,81,False,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 81; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,artist_neighbor_scene_fact,128,1,"east coast hip hop, hip hop, hip hop/rap, hip-hop, hip-hop/rap, rap, underground hip hop, underground hip-hop, underground-hip-hop",2005,15834,"strictly for the undergound, great rap, underground hip-hop, masta ace rap hiphop, great diss, hippity hoppity, east coast rap, new york rap, wizardry, the real","strictly for the undergound, great rap, underground hip-hop, great diss, hippity hoppity, east coast rap, new york rap, wizardry, the real, guru","Yeah, that Dead Prez track is fire! Super authentic and exactly the kind of vibe I'm into from that era. What else hits like that? Maybe some more underground stuff from the late 90s or early 2000s?","GT appears deep, but projected branch inputs are not sharp enough.",popularity_by_scene_query_gap
ba68a3cc-5278-4680-917a-4ca66d33ef31::t5,P0_new_artist_union20_gap_failure,True,Buttons / The Pussycat Dolls,order_gap_21_50,analysis.artist_tag_neighbor_popularity.anchor_cf_features,34,True,True,branch_local_rerank_existing_branch,GT is already close at rank 34 in analysis.artist_tag_neighbor_popularity.anchor_cf_features; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,artist_neighbor_scene_fact,50,1,"female, love",2005,1776,"a vocal-centric aesthetic, lust, groove based composition, workout, hot, english, lights off, top, favorites, start dancing","a vocal-centric aesthetic, lust, groove based composition, workout, hot, english, lights off, top, start dancing, a clear focus on recording studio production","Yes, this selection is great! ""Wannabe"" is iconic, it really gets me in a powerful mood. I think these are all perfect for what I asked for. What else do you have that's like these? Maybe some other pop artists from that same time?",GT is in the candidate pool but below top-20.,
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,True,Gangsta Gangsta / N.W.A.,order_gap_51_100,dense.qwen_8b.intent.metadata_qwen3_embedding_8b.anchor_cf_features,85,True,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 85; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,state_tag_popularity_alias,82,1,"gansta rap, gansta-rap, hip-hop, rap",1988,3065,"808, gangsta rap attitude, electric guitars, rap  hip-hop, an electric bass riff, richard pryor, explicit lyrics, sample, old school hip hop, nwa","808, gangsta rap attitude, electric guitars, rap  hip-hop, an electric bass riff, richard pryor, explicit lyrics, sample, old school hip hop, nwa","DMX is a beast! ""Where The Hood At"" is definitely a raw, aggressive banger and fits that dark, intense vibe perfectly. You nailed it with these last few tracks. Thanks for the awesome recommendations! Can you suggest another track that's just pure, unfilter...",GT is in the candidate pool but below top-20.,lyric_or_theme_source_gap
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,True,Midnight / A Tribe Called Quest,deep_or_source_gap_gt_rank_gt100,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b.anchor_cf_features,175,False,False,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_tag_popularity_alias,3263,1,"hip hop, hip hop/rap, hip-hop, hip-hop/rap, rap",1993,13021,"strictly for the undergound, east coast rap, loved, hip hop is read playlist, hard, sopperfield, rap  hip-hop, hip hop hooray, true hop, hip hoprap","strictly for the undergound, east coast rap, hard, sopperfield, rap  hip-hop, hip hop hooray, true hop, hip hoprap, jazz hop, tcq 1","Yes! ""Blinded By The Lights"" is exactly the track I was trying to recall! That's the one! You totally nailed it with that recommendation. Thanks so much! Now that you've found that one for me, can you recommend some other tracks that have a similar kind of...","GT appears deep, but projected branch inputs are not sharp enough.",lyric_or_theme_source_gap
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,False,"Dear Yvette / Jane Doe, Masta Ace",deep_or_source_gap_gt_rank_gt100,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b.branch_local_hybrid,391,False,False,do_not_optimize_invalid_or_contradictory_gt,Do not chase this with retrieval. Keep it as a guardrail/audit case.,GT audit marks this noisy or contradictory.,same_album_fanout,4,608,"hip hop, hip-hop, rap",2005,38148,"hiphop, Hip-Hop/Rap, hip-hop","hiphop, Hip-Hop/Rap, hip-hop","Make My"" is a strong track and Black Thought's lyrics are always on point, but I'm really trying to branch out from The Roots and Masta Ace for a bit. Can you definitely give me a narrative-driven track from a *different* classic 90s East Coast artist, like...",User asks to branch out from Masta Ace; GT is still Masta Ace.,lyric_or_theme_source_gap
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,True,Breath and Life / Audiomachine,order_gap_21_50,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b.anchor_cf_features,27,True,True,branch_local_rerank_existing_branch,GT is already close at rank 27 in dense.qwen_8b.attributes.attributes_qwen3_embedding_8b.anchor_cf_features; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,state_scene_era_tag_popularity,82,2,"classical, movie score, orchestral epic, orchestral-epic, ost, score, soundtrack",2012,40387,"trailer music, epic, soundtrack, instrumental, fucking awesome, orchestral epic, Classical","trailer music, epic, soundtrack, instrumental, orchestral epic, Classical","I'm trying to remember a really powerful, orchestral song from the early 2000s, like something from a movie score.",GT is in the candidate pool but below top-20.,
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,P1_temporal_constraint_failure,True,I Juswanna Chill / Large Professor,order_gap_51_100,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b.anchor_cf_features,71,False,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 71; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,state_tag_popularity_alias,3899,43,"hip hop, hip-hop, rap",2009,10260,"banned, Hip-Hop/Rap, hip-hop","banned, Hip-Hop/Rap, hip-hop","These selections are spot on for that underground 90s hip-hop sound. Exactly what I wanted! What else is out there that I might like with a similar vibe, maybe from other artists but still with that golden age jazzy feel?","GT appears deep, but projected branch inputs are not sharp enough.",visual_cover_art_source_gap
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,P1_positive_tag_retrieval_gap_failure,True,"Glitter / Tyler, The Creator",absent_from_promoted_top100,,,False,False,tune_state_tag_popularity_alias,"state_tag_popularity_alias sees GT at rank 79; needs better local scoring, not a new source.",Current projected tags plus catalog alias expansion.,state_tag_popularity_alias,79,1,"alternative hip hop, alternative-hip-hop, hip hop, hip hop/rap, hip-hop, hip-hop/rap, rap",2017,1953,"bittersweet, Hip-Hop/Rap, hip hop, post-nerdcore, alternative hip-hop, alternative hip hop, hip-hop, played, tyler the creator, rap","bittersweet, Hip-Hop/Rap, hip hop, post-nerdcore, alternative hip-hop, played, rap, alternative","Dope! ""REDMERCEDES"" is definitely on point with that vibrant energy, both in the song and the cover. These are exactly the kind of tracks I was looking for, where the artwork really brings out the music's vibe. What else have you got that fits this awesome...","State has signal, but forced existing branches do not surface GT.",visual_cover_art_source_gap
2bbc0a7e-3ab0-4376-8135-182cd4ae075f::t1,P1_positive_tag_retrieval_gap_failure,True,Las Almas Del Silencio / Ricky Martin,order_gap_21_50,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.catalog_features,30,True,True,branch_local_rerank_existing_branch,GT is already close at rank 30 in dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.catalog_features; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,state_fact_only_scene_era,227,1,"latin, latin pop, latin-pop, pop",2003,36495,"pop, Latin Pop, beautiful, latin pop, easy listening, male vocalists, favourite, puerto rico, puerto rican, latin","pop, Latin Pop, easy listening, male vocalists, puerto rico, puerto rican, latin, ballad, adult contemporary","I'm trying to remember a Latin Pop song from around the early 2000s, it was quite a hit back then.",GT is in the candidate pool but below top-20.,
464477e4-f186-47fb-8cb0-55691c8b8f57::t6,P1_positive_tag_retrieval_gap_failure,True,"Where Eagles Dare / Glenn Danzig, Misfits",order_gap_21_50,analysis.artist_tag_neighbor_popularity.anchor_cf_features,43,True,True,branch_local_rerank_existing_branch,GT is already close at rank 43 in analysis.artist_tag_neighbor_popularity.anchor_cf_features; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,state_scene_era_tag_popularity,42,1,"alternative, classic punk, classic-punk, hardcore, hardcore punk, hardcore-punk, proto-punk, punk",1986,5143,"under two minutes, hardcore punk, i aint no goddamn son of a bitch, alternative rock, 1979, classic hard rock, gothic, favorites, classic punk, favorite song","under two minutes, hardcore punk, i aint no goddamn son of a bitch, alternative rock, 1979, classic hard rock, gothic, classic punk, fave, indie","Yes, The Clash! ""White Riot"" is a perfect example of that raw UK punk energy. These are all legendary tracks. What about something equally influential, but from the earlier wave of punk, like proto-punk, or something from New York City's early scene?",GT is in the candidate pool but below top-20.,
