sample_id,session_id,turn,pack,gt_track,gt_artist,current_user,protected20,protected50,protected100,branch20,branch50,branch100,add20,add50,add100,best_variant,best_branch,best_rank,state_request_type,state_request_summary,state_target_artist_mode,state_retrieval_profile,state_facts_targets,state_facts_attrs,state_facts_refs,state_facts_rejected,state_lyrical_theme,state_temporal,state_referenced_track_ids,failure_reason
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,a930da0d-07f1-46c6-909d-e4fd95ae1148,6,P0_new_artist_union20_gap_failure,Without You,Christina Aguilera,"Another fantastic Michael Jackson track! 'Will You Be There' is definitely a powerful and energetic song that everybody knows. These are exactly the kind of widely loved, feel-good hits I enjoy. What other well-known songs do you have that are popular and h...",False,False,False,False,False,False,False,False,False,,,,attribute_search,"Another well-known, feel-good pop or R&B song with a strong beat and wide popularity, similar in popularity/energy to the liked prior tracks.",unknown,feature_search,attribute:popularity:well-known; attribute:popularity:widely loved; attribute:mood:feel-good; attribute:energy:strong beat; attribute:energy:upbeat; attribute:energy:energetic,,attribute:popularity:hugely popular,,,,,popularity_by_scene_query_gap
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,5f29a9df-ad38-4349-a2f0-c9a690ea072d,2,P0_roleless_stale_entity_failure,Shaft,Kashmere Stage Band,"Yes! That's a classic, I know that one well! It definitely fits the vibe of what I was looking for. It's got that undeniable groove.",False,False,False,False,False,False,False,False,False,,,,unknown,The user is satisfied with the recommendation but has not requested any additional action or follow-up yet.,unknown,feature_search,,,track:Hollywood Swinging; artist:Kool & The Gang,,,,,popularity_by_scene_query_gap
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,88af7ec3-c368-421b-9512-d0180da3d1f6,2,P0_roleless_stale_entity_failure,I Believe in a Thing Called Love,The Darkness,"Oh my goodness, that's a very interesting choice! ""I Write Sins Not Tragedies"" definitely has a strong story. I remember a song like that, with a wedding drama. Can you remind me of any specific lines about a bartender, or someone overhearing gossip?",False,False,False,False,False,False,False,False,False,,,,hidden_target,"User is trying to recall a 2000s song with a wedding drama scene, specific lines about a bartender or overhearing gossip; 
   'I Write Sins Not Tragedies' is a contrast.",unknown,hidden_target_search,attribute:lyrical_theme:overhearing gossip; attribute:lyrical_theme:bartender; attribute:lyrical_theme:wedding drama; attribute:era:2000s,,,,"overhearing gossip, bartender, wedding drama","{""apply_as_filter"": false, ""end_year"": 2009, ""evidence_text"": ""from around the 2000s"", ""kind"": ""style_era"", ""start_year"": 2000, ""strength"": ""soft""}",,lyric_or_theme_source_gap
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,ad5348a7-d3bc-4882-bfca-54aa655eac96,5,P1_positive_tag_retrieval_gap_failure,Glitter,"Tyler, The Creator","Dope! ""REDMERCEDES"" is definitely on point with that vibrant energy, both in the song and the cover. These are exactly the kind of tracks I was looking for, where the artwork really brings out the music's vibe. What else have you got that fits this awesome...",False,False,False,False,False,False,False,False,False,,,,attribute_search,"More tracks where the album art is vibrant, energetic, and the music matches that vibe.",unknown,feature_search,,,track:Same Drugs,,,,,visual_cover_art_source_gap
5f085552-b56b-440e-830b-b4e40b58f854::t6,5f085552-b56b-440e-830b-b4e40b58f854,6,P0_novelty_prior_anchor_failure,Redneck Yacht Club,Craig Morgan,"Yes, Tim McGraw definitely brings that big energy! That's another great anthem from that era. Keep them coming – can you find me another upbeat, high-energy country track from the late 90s or early 2000s that really gets you moving?",False,False,False,False,False,True,False,False,True,qwen06_clap_centroid_branch_rules,dense.clap_text.sonic_nl.audio_laion_clap,51,attribute_search,"Another upbeat, high-energy country track from the late 90s or early 2000s.",unknown,feature_search,attribute:genre:country; attribute:energy:upbeat high-energy; attribute:era:late 90s or early 2000s,,track:I Ain't Goin' Down; artist:Shania Twain; track:You Get Used To Somebody; artist:Tim McGraw,,,"{""apply_as_filter"": false, ""end_year"": 2004, ""evidence_text"": ""late 90s to early 2000s period"", ""kind"": ""style_era"", ""start_year"": 1997, ""strength"": ""soft""}",,target_in_51_100_tail_query_or_ordering
54cda581-3b2e-4245-a479-1a27589760d2::t3,54cda581-3b2e-4245-a479-1a27589760d2,3,P1_positive_tag_retrieval_gap_failure,Deliberation - Studio,Katatonia,"This is getting really close! The album art for ""Character"" by Dark Tranquillity is definitely in the right ballpark with the ruined city and bleak atmosphere. However, the one I'm thinking of had a somewhat more abstract or symbolic image on the cover, rat...",False,False,False,False,False,True,False,False,True,all_candidate_branch_rules,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,52,hidden_target,"A heavy metal album with a dark, bleak, abstract or symbolic cover of a ruined/destroyed city, released mid-2000s to mid-2010s.",unknown,hidden_target_search,attribute:genre:heavy metal; attribute:visual:dark; attribute:visual:abstract; attribute:visual:ruined city; attribute:visual:bleak; attribute:era:mid-2000s to mid-2010s,,,,,"{""apply_as_filter"": false, ""end_year"": 2015, ""evidence_text"": ""mid-2000s to mid-2010s"", ""kind"": ""style_era"", ""start_year"": 2004, ""strength"": ""soft""}",887f18a4-599a-445c-b617-41d6616df11c,target_in_51_100_tail_query_or_ordering
5a0dfe9d-ec8a-4449-97df-35535cbf162f::t1,5a0dfe9d-ec8a-4449-97df-35535cbf162f,1,P1_positive_tag_retrieval_gap_failure,A New World,Harry Gregson-Williams,"Play something epic and orchestral, like a movie soundtrack, for background music.",False,False,False,False,False,True,False,False,True,all_candidate_recall,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,60,attribute_search,Epic orchestral movie soundtrack music for background listening.,unknown,feature_search,attribute:sonic:epic orchestral; attribute:visual:movie soundtrack; attribute:mood:background music,,,,,,,target_in_51_100_tail_query_or_ordering
5861afef-85c0-4163-b8b9-5a11e308f352::t4,5861afef-85c0-4163-b8b9-5a11e308f352,4,P0_new_artist_union20_gap_failure,Carmesí,Vicente Garcia,"Yes, ""Tic Tac"" is super catchy and energetic! It's great to hear MC Lan with Lucas Lucco too. I'm finding some really good artists. Can you give me a few more diverse artists to check out, maybe with a slightly different take on that danceable or Latin sound?",False,False,False,False,False,True,False,False,True,all_candidate_recall,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,65,new_artist,"More diverse artists with a danceable or Latin sound, referencing the likeable style of prior tracks but explicitly requesting different artists.",new_artist,novelty,attribute:genre:danceable; attribute:genre:Latin,,track:Malandramente; artist:DENNIS; artist:Nego Bam; artist:MC Nandinho; track:Tic Tac; artist:Lucas Lucco; artist:MC Lan,,,,,target_in_51_100_tail_query_or_ordering
a8df96e2-c196-462c-9484-72aa093aedf4::t1,a8df96e2-c196-462c-9484-72aa093aedf4,1,P1_positive_tag_retrieval_gap_failure,Do Everything,Steven Curtis Chapman,"I'm trying to remember a Christian song, it had a really encouraging message, maybe by a male artist?",False,False,False,False,False,True,False,False,True,all_candidate_branch_rules,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,68,hidden_target,Find a specific Christian song by a male artist with an encouraging message.,unknown,hidden_target_search,attribute:genre:Christian; attribute:lyrical_theme:encouraging message; attribute:performer:male artist,,,,encouraging message,,,target_in_51_100_tail_query_or_ordering
2bbc0a7e-3ab0-4376-8135-182cd4ae075f::t1,2bbc0a7e-3ab0-4376-8135-182cd4ae075f,1,P1_positive_tag_retrieval_gap_failure,Las Almas Del Silencio,Ricky Martin,"I'm trying to remember a Latin Pop song from around the early 2000s, it was quite a hit back then.",False,False,False,False,False,True,False,False,True,qwen06_clap_centroid_branch_rules,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,94,hidden_target,Find a hit Latin Pop song from around the early 2000s.,unknown,hidden_target_search,attribute:genre:Latin Pop; attribute:popularity:hit back then; attribute:era:early 2000s,,,,,"{""apply_as_filter"": false, ""end_year"": 2005, ""evidence_text"": ""early 2000s"", ""kind"": ""style_era"", ""start_year"": 1999, ""strength"": ""soft""}",,target_in_51_100_tail_query_or_ordering
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78,3,P0_novelty_prior_anchor_failure,Gib ihn einfach (Dies das 2),Ghanaian Stallion,"Yes, this is exactly the kind of sound I was looking for! ""Welcome To Jamrock"" is a classic. That definitely fits the ""defined an era"" vibe. Can you give me another track that has that timeless, era-defining feeling, maybe an old-school hip-hop gem this time?",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,101,attribute_search,"An old-school hip-hop track with a timeless, era-defining feeling; Damian Marley jamrock style is satisfied context.",unknown,feature_search,attribute:genre:old-school hip-hop; attribute:mood:timeless era-defining,,track:Welcome To Jamrock; artist:Damian Marley,,,,,popularity_by_scene_query_gap
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,8dc4c630-8369-4720-b379-2a7dcd8d34aa,7,P0_novelty_prior_anchor_failure,Transcentience,Animals As Leaders,This is excellent! The melodic technicality of Allegaeon is exactly the kind of balance I was looking for. Can you suggest something else that leans into orchestral or symphonic elements alongside the technicality?,False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,102,attribute_search,"Something that leans into orchestral or symphonic elements alongside technicality, similar to the experimental complexity found but now with a more melodic/atmospheric edge.",unknown,feature_search,attribute:sonic:technical; attribute:sonic:orchestral; attribute:sonic:symphonic; attribute:sonic:melodic; attribute:sonic:atmospheric,,track:Testimonial Ruins; artist:Gorguts; track:The Cleansing; artist:Allegaeon,,,,,scene_subculture_or_genre_query_gap
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,9b9b7c6b-b376-4d6b-8716-aa7cf0127322,4,P0_roleless_stale_entity_failure,The Carbon Stampede,Cattle Decapitation,"Suffocation is always a solid listen, but I'm really looking to discover some *new* bands. Can you suggest some more recent acts that are making waves in the technical or progressive death metal scene? I'm open to anything that's pushing the envelope.",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,centroid.anchor_tracks.cf_bpr,108,new_artist,Discover new/some more recent acts in the technical or progressive death metal scene that are pushing the envelope.,new_artist,novelty,attribute:era:recent; attribute:genre:technical death metal; attribute:genre:progressive death metal; attribute:energy:pushing the envelope,,artist:Brain Drill; artist:Suffocation,,,,,visual_cover_art_source_gap
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,67b9ba8a-382f-4b70-af76-576848d8cf67,8,P1_temporal_constraint_failure,Gangsta Gangsta,N.W.A.,"DMX is a beast! ""Where The Hood At"" is definitely a raw, aggressive banger and fits that dark, intense vibe perfectly. You nailed it with these last few tracks. Thanks for the awesome recommendations! Can you suggest another track that's just pure, unfilter...",False,False,False,False,False,False,False,False,False,qwen8_metadata_intent,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,138,attribute_search,"Pure unfiltered raw aggressive track with dark intense gritty beats and horrorcore-influenced lyrics, late 90s/early 2000s East Coast underground style.",unknown,feature_search,attribute:lyrical_theme:raw aggression; attribute:mood:dark and intense; attribute:sonic:gritty beats; attribute:lyrical_theme:horrorcore-influenced lyrics; attribute:genre:East Coast underground,,track:Butcher Knife Bloodbath; track:Where The Hood At; artist:Jedi Mind Tricks; artist:DMX,,horrorcore-influenced,"{""apply_as_filter"": false, ""end_year"": 2003, ""evidence_text"": ""late 90s/early 2000s"", ""kind"": ""style_era"", ""start_year"": 1997, ""strength"": ""soft""}",,lyric_or_theme_source_gap
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,b466a64b-b3cc-4c62-8a70-8261434f915f,2,P0_new_artist_union20_gap_failure,Two To Make It Right,Seduction,Yes! 'Finally' by CeCe Peniston! That's exactly the track I was trying to remember. Spot on! 'Finally' is it. Can you suggest other iconic 90s dance hits similar to this one?,False,False,False,False,False,False,False,False,False,centroid_audio,centroid.anchor_tracks.audio_laion_clap,158,attribute_search,"Other iconic 90s dance hits with similar energetic, dance-worthy feel to 'Finally'.",unknown,feature_search,attribute:popularity:iconic; attribute:era:1990s; attribute:genre:dance; attribute:energy:energetic; attribute:mood:dance-worthy,,track:Finally; artist:CeCe Peniston,,,"{""apply_as_filter"": false, ""end_year"": 1999, ""evidence_text"": ""90s dance hits"", ""kind"": ""style_era"", ""start_year"": 1990, ""strength"": ""soft""}",b61f3ba5-35f8-4685-92b7-a5f49cb20fc1,popularity_by_scene_query_gap
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a,4,P0_new_artist_union20_gap_failure,Goodbye Pork Pie Hat,Charles Mingus,"That was a fantastic, energetic piece! The swing was just what I was looking for. I'm really getting a good sense of the range of classic jazz. To round out this exploration, could we try something that perhaps feels a bit more bluesy or soulful, but still...",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,165,attribute_search,"A classic jazz piece that feels bluesy or soulful, rounding out the exploration of different moods.",unknown,feature_search,attribute:genre:classic jazz; attribute:mood:bluesy; attribute:mood:soulful,,artist:Chet Baker; artist:Django Reinhardt,,,,,popularity_by_scene_query_gap
88beb200-0334-4aba-be15-8e1303725766::t6,88beb200-0334-4aba-be15-8e1303725766,6,P0_novelty_prior_anchor_failure,Used To,"Lil Wayne, Drake","Legend"" is a classic, no doubt! I'm good on Drake for now though. I was hoping for some popular Hip-Hop tracks from *other artists* around late 2015 to early 2016. Any major hits from that period by someone different?",False,False,False,False,False,False,False,False,False,qwen06_clap_centroid_branch_rules,dense.clap_text.sonic.audio_laion_clap,175,new_artist,Popular hip-hop hits from late 2015 to early 2016 by artists other than Drake.,new_artist,novelty,attribute:genre:hip-hop; attribute:popularity:popular; attribute:popularity:major hits,,artist:PARTYNEXTDOOR,artist:Drake,,"{""apply_as_filter"": true, ""end_year"": 2016, ""evidence_text"": ""late 2015 to early 2016"", ""kind"": ""release_date"", ""start_year"": 2015, ""strength"": ""hard""}",,visual_cover_art_source_gap
9468e467-d396-461b-be29-b30b6cf87c35::t5,9468e467-d396-461b-be29-b30b6cf87c35,5,P1_temporal_constraint_failure,Midnight,A Tribe Called Quest,"Yes! ""Blinded By The Lights"" is exactly the track I was trying to recall! That's the one! You totally nailed it with that recommendation. Thanks so much! Now that you've found that one for me, can you recommend some other tracks that have a similar kind of...",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,179,similar_to_prior,"Other tracks like 'Blinded By The Lights' by The Streets, capturing its atmospheric, late-night, spoken-word storytelling style.",unknown,continuation,attribute:sonic:atmospheric; attribute:mood:night-time city walk; attribute:sonic:spoken-word storytelling; attribute:genre:early 2000s UK sound,,track:Blinded By The Lights; artist:The Streets,,,"{""apply_as_filter"": false, ""end_year"": 2004, ""evidence_text"": ""early 2000s UK sound"", ""kind"": ""style_era"", ""start_year"": 2000, ""strength"": ""soft""}","804d9bb1-e075-4f5b-9046-8715a048f11e,22888202-f335-420c-9462-24e438c74f97",lyric_or_theme_source_gap
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,c4c0c288-dbcd-4970-ad52-901aafe91b88,4,P1_temporal_constraint_failure,I Juswanna Chill,Large Professor,"These selections are spot on for that underground 90s hip-hop sound. Exactly what I wanted! What else is out there that I might like with a similar vibe, maybe from other artists but still with that golden age jazzy feel?",False,False,False,False,False,False,False,False,False,all_candidate_recall,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,228,new_artist,"Other artists from the golden age with a jazzy hip-hop feel, preserving the underground 90s style.",new_artist,novelty,attribute:genre:jazzy hip-hop; attribute:genre:golden age hip-hop; attribute:genre:underground 90s hip-hop,,artist:A Tribe Called Quest; track:Electric Relaxation; track:Award Tour,,,"{""apply_as_filter"": false, ""end_year"": 1999, ""evidence_text"": ""golden age"", ""kind"": ""style_era"", ""start_year"": 1985, ""strength"": ""soft""}",,visual_cover_art_source_gap
