sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
44c3948c-bc44-4e40-ae77-82c2fec9c944::t7,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Me Dediqué a Perderte,"Alejandro Fernandez, Alejandro Fernández",,,1,centroid.anchor_tracks.cf_bpr,39,False,True,True,True,True,True,True,False,False,False,False,False
899f906b-9b0b-42a6-9689-643eb9f1ed31::t8,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Crawling,Linkin Park,,,8,analysis.query_text_tag_popularity,41,False,True,True,True,True,True,True,False,False,False,False,False
93199894-d3db-4335-8278-e1be175944e4::t6,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Smells Like Teen Spirit,Nirvana,,,216,bm25,33,False,False,False,False,False,False,True,False,False,False,False,False
7d2bb60e-1046-4956-91d0-cf1dd73037cc::t3,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Hung Up,Madonna,1,1,1,lookup.resolved_artist_discography,41,False,False,True,True,True,True,True,True,True,True,True,True
1b406c88-9dfd-42cd-a1f5-9683f35f849b::t1,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,93 'Til Infinity,Souls Of Mischief,55,29,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,41,False,False,True,True,True,True,True,False,False,True,True,True
7be411cd-f002-459e-8326-3ebe8be10b42::t6,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Army Dreamers,Kate Bush,,,118,analysis.era_tag_popularity,35,False,True,False,False,False,True,True,False,False,False,False,False
fc78453a-8798-4402-a01a-e9c557f08a03::t2,P0_named_artist_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,En el 2000,Natalia Lafourcade,34,34,1,bm25,37,False,False,True,True,True,True,True,False,True,True,True,True
84803908-48e7-41b7-9269-a465a44f4c10::t2,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Runaway,"Pusha T, Kanye West",23,18,1,centroid.anchor_tracks.image_siglip2,39,False,False,True,True,True,True,True,False,True,True,True,True
6d825b33-dc20-4b3c-a277-0c8214163007::t6,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Super Rich Kids,"Frank Ocean, Earl Sweatshirt",,,2,analysis.same_album_fanout,41,True,False,True,True,True,True,True,False,False,False,False,False
942c0b23-c5ad-4270-b23f-3ba456ea0ccf::t5,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Alive,Pearl Jam,2,2,1,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,41,False,False,True,True,True,True,True,True,True,True,True,True
19c7e5bf-0797-40c5-b798-4d024af9558d::t4,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Satisfied,"Original Broadway Cast of Hamilton, Renée Elise Goldsberry",38,38,2,centroid.anchor_tracks.image_siglip2,39,False,False,True,True,True,True,True,False,True,True,True,True
71b80ec3-6cca-48b4-b471-08efa00afa2d::t4,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,That Would Be Enough,"Lin-Manuel Miranda, Phillipa Soo",21,21,1,centroid.anchor_tracks.image_siglip2,41,False,False,True,True,True,True,True,False,True,True,True,True
692611f0-d9ef-406c-8327-902575197aee::t8,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,YAH.,Kendrick Lamar,13,13,6,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b.state_features,41,False,False,True,True,True,True,True,True,True,True,True,True
8071d14d-7e0f-4f72-90a6-0941db80a371::t5,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Stay Down,Brent Faiyaz,6,5,1,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,39,False,False,True,True,True,True,True,True,True,True,True,True
c863175a-bbaf-4f6c-aef7-cb16f2792cb5::t6,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Cinderella (feat. Ty Dolla $ign),Mac Miller,6,6,1,dense.siglip2_text.visual.image_siglip2.state_features,41,False,False,True,True,True,True,True,True,True,True,True,True
c96d7bb9-65d4-44be-9bc2-891e8e485f4e::t7,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Sentimento Louco - Ao Vivo,Marília Mendonça,302,18,4,analysis.same_album_fanout,41,False,False,True,True,True,True,True,False,False,False,False,True
e6ba98e1-9bee-4cc9-a6b7-0a8dcd767a1f::t7,P0_same_album_ranker_failure,failure,all_candidate_plus_targeted_v4_state_features,Boom,P.O.D.,56,62,3,centroid.anchor_tracks.image_siglip2,43,False,False,True,True,True,True,True,False,False,True,True,True
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Glitter,"Tyler, The Creator",,,79,analysis.tag_popularity_alias,35,False,False,False,False,True,True,True,False,False,False,False,False
2bbc0a7e-3ab0-4376-8135-182cd4ae075f::t1,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Las Almas Del Silencio,Ricky Martin,38,75,26,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.state_features,35,False,False,False,True,True,True,True,False,True,True,True,True
464477e4-f186-47fb-8cb0-55691c8b8f57::t6,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Where Eagles Dare,"Glenn Danzig, Misfits",,868,30,centroid.anchor_tracks.image_siglip2,41,False,False,False,True,True,True,True,False,False,False,False,False
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t5,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,You Know What I Mean,Cults,573,835,25,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,41,False,False,False,True,True,True,True,False,False,False,False,True
a2cface7-c4fc-4eb5-80b2-e0c516093732::t3,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,The City Is At War,Cobra Starship,75,102,11,centroid.anchor_tracks.cf_bpr,39,False,False,True,True,True,True,True,False,False,True,True,True
dd686049-59ba-439b-8c51-949a0876e1b3::t1,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Vengeance (The Return of the Night Driving Avenger) [Bonus Track],Perturbator,67,65,1,dense.siglip2_text.visual.image_siglip2,33,False,False,True,True,True,True,True,False,False,True,True,True
a8df96e2-c196-462c-9484-72aa093aedf4::t1,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Do Everything,Steven Curtis Chapman,75,79,4,analysis.scene_era_tag_popularity_v2,35,False,False,True,True,True,True,True,False,False,True,True,True
5a0dfe9d-ec8a-4449-97df-35535cbf162f::t1,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,A New World,Harry Gregson-Williams,28,21,4,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b.state_features,33,False,False,True,True,True,True,True,False,True,True,True,True
1c567917-f931-4609-9695-a9c0f8e39f3d::t2,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Arregaçada / U Can't Touch This,Banda Uó,302,299,35,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,39,False,False,False,True,True,True,True,False,False,False,False,True
54cda581-3b2e-4245-a479-1a27589760d2::t3,P1_positive_tag_retrieval_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Deliberation - Studio,Katatonia,91,206,6,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b.state_features,41,False,False,True,True,True,True,True,False,False,True,True,True
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t3,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Yellow,Coldplay,75,103,1,lookup.era_popularity,37,False,False,True,True,True,True,True,False,False,True,True,True
a62ed6fc-e634-4d57-afab-36d9ffc0fcc1::t1,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Iris,The Goo Goo Dolls,156,321,2,lookup.era_popularity,35,False,False,True,True,True,True,True,False,False,False,True,True
be88097f-b6b0-4fb4-bed9-857a92a733c0::t3,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Dreams - 2004 Remaster,Fleetwood Mac,581,848,1,lookup.era_popularity,41,False,False,True,True,True,True,True,False,False,False,False,True
2eb984dc-9c71-449a-a335-caaa113d2c2b::t3,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Tennessee Whiskey,Chris Stapleton,8,8,2,centroid.anchor_tracks.image_siglip2,41,False,False,True,True,True,True,True,True,True,True,True,True
43a0926b-882e-403d-8cf7-2b0a598e0cc5::t2,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Devil In A New Dress,"Rick Ross, Kanye West",20,18,1,centroid.anchor_tracks.cf_bpr,39,False,False,True,True,True,True,True,True,True,True,True,True
401c369d-1eba-41b2-8eca-d93a6faeeddc::t3,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Walk,Pantera,1,1,1,analysis.artist_tag_neighbor_popularity,41,False,False,True,True,True,True,True,True,True,True,True,True
2db3ddc8-78a1-412c-a71e-e0d748aab0e7::t2,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Old Time Rock & Roll,Bob Seger,7,7,2,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,43,False,False,True,True,True,True,True,True,True,True,True,True
b4ffa800-8173-4f16-800a-4b5e765d7f80::t4,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,And I Love Her - Remastered,The Beatles,,,1,dense.siglip2_text.visual.image_siglip2,32,False,True,True,True,True,True,True,False,False,False,False,False
66ff896f-fcbc-4c42-9d69-b0b5b5ae5a56::t3,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Hungry Heart,Bruce Springsteen,21,21,2,analysis.artist_neighbor_scene_v2,41,False,False,True,True,True,True,True,False,True,True,True,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t1,P0_good_state_ranker_near_miss_failure,failure,all_candidate_plus_targeted_v4_state_features,Electric Relaxation,A Tribe Called Quest,60,35,1,centroid.anchor_tracks.cf_bpr,41,False,False,True,True,True,True,True,False,False,True,True,True
0681d55b-98a0-4773-a9df-075a8050d805::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Numb,Linkin Park,1,1,1,bm25,35,False,False,True,True,True,True,True,True,True,True,True,True
8bee6f03-8cae-44ae-9325-455dc1138549::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Africa,"TOTO, Toto",1,1,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
d62387d0-3743-4ddc-bc92-8204c951ccee::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,In the End,Linkin Park,1,1,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
bd2aa024-68e7-43c2-aa87-afce9b4d7cf1::t2,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Shut Up and Dance,WALK THE MOON,1,1,1,bm25,43,False,False,True,True,True,True,True,True,True,True,True,True
028027d3-ad67-4cfb-baca-516772ae7399::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Toxic,Britney Spears,3,3,1,bm25,43,False,False,True,True,True,True,True,True,True,True,True,True
fada63d6-1275-47a1-b3ab-30eae222fd72::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Toxic,Britney Spears,2,2,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
7c3154c5-d1c2-4f07-9b8d-96d187334f1b::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Way Down We Go,"Kaleo, KALEO",1,1,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
ba3da7b0-1e81-4d2a-90fa-65ee1f4d7348::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Heart-Shaped Box,Nirvana,1,1,1,bm25,45,False,False,True,True,True,True,True,True,True,True,True,True
3664db63-1623-4ae7-9910-dd8bc3c2bd83::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,No Scrubs,TLC,1,1,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
7b550636-72fe-490e-ad38-a1912d08449f::t1,POS_exact_entity_success_control,positive_control,all_candidate_plus_targeted_v4_state_features,Believe,Cher,2,2,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t8,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Feel Good Inc,Gorillaz,1,1,1,lookup.resolved_artist_discography,41,False,False,True,True,True,True,True,True,True,True,True,True
4a02d862-623b-4fab-a42c-2905f31a96db::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Dreams - 2004 Remaster,Fleetwood Mac,5,5,1,lookup.era_popularity,41,False,False,True,True,True,True,True,True,True,True,True,True
5b44bff3-76ed-495e-9dc1-0f075e3d178b::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Dreams - 2004 Remaster,Fleetwood Mac,27,33,1,lookup.era_popularity,35,False,False,True,True,True,True,True,False,True,True,True,True
a61b366c-8cf5-48ad-a13f-181c033b9d89::t2,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Pumped Up Kicks,Foster The People,4,3,1,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b.state_features,39,False,False,True,True,True,True,True,True,True,True,True,True
55388720-92b7-4972-9bb2-beb37c33c86b::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Ivy,Frank Ocean,4,5,1,bm25,43,False,False,True,True,True,True,True,True,True,True,True,True
13552d56-f3d8-443a-9272-11ec16c80fa1::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Congratulations,"Quavo, Post Malone",,,38,bm25.state_features,25,False,False,False,True,True,True,True,False,False,False,False,False
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t3,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,DARE,Gorillaz,2,2,1,bm25.state_features,41,False,False,True,True,True,True,True,True,True,True,True,True
93199894-d3db-4335-8278-e1be175944e4::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Even Flow,Pearl Jam,1,1,1,bm25,33,False,False,True,True,True,True,True,True,True,True,True,True
a9b423bf-d05c-418d-98af-2a3b1e1d7917::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,It Was A Good Day,Ice Cube,2,1,1,lookup.resolved_artist_discography,45,False,False,True,True,True,True,True,True,True,True,True,True
5080d5a0-336e-4bd1-b5bc-4cc611983429::t1,POS_clean_final_hit_control,positive_control,all_candidate_plus_targeted_v4_state_features,Rock with You - Single Version,Michael Jackson,1,1,1,bm25,35,False,False,True,True,True,True,True,True,True,True,True,True
